university,course,ucas_code,alevel_grades,ib_points_raw
King's College London,Natural Sciences With A Year In Industry,CFG1,AAA,36 points
King's College London,Psychology And Criminology,C820,A*AA,38 points
King's College London,Psychology And Criminology With Professional Year Placement,C821,A*AA,38 points
King's College London,Psychology And Criminology With Year Abroad,C822,A*AA,38 points
University of Warwick,Medicine Graduate Entry,A101,,
University of Exeter,Comparative Literatures And Cultures With Employment Experience Abroad,Q201,ABB,32 points
University of Exeter,Computer Science With Foundation Year,I403,BCC,26 points
University of Exeter,Data Science With Foundation Year,GG20,BCC,26 points
University of Exeter,Finance: Business Management,NN46,AAB,34 points
University of Exeter,Finance: Business Management With Industrial Experience,NN50,AAB,34 points
University of Exeter,Finance: Business Management With Year Abroad,NN51,AAB,34 points
University of Exeter,Finance: Data Science,NN47,AAB,34 points
University of Exeter,Finance: Data Science With Industrial Experience,NN52,AAB,34 points
University of Exeter,Finance: Data Science With Year Abroad,NN53,AAB,34 points
University of Exeter,Finance: Investment Banking,NN45,AAB,34 points
University of Exeter,Finance: Investment Banking With Industrial Experience,NN48,AAB,34 points
University of Exeter,Finance: Investment Banking With Year Abroad,NN49,AAB,34 points
University of Exeter,History With Employment Experience Abroad,V106,AAB,34 points
University of Exeter,Mathematics And Data Science With A Year In Industry,GG22,AAB,34
